Carimbo de data/hora,Qual é sua faixa etária?,Quantas horas por semana você utiliza plataformas de streaming? , Como você acessa plataformas de streaming atualmente?,"  Quanto você paga por mês, do seu próprio bolso, pelas plataformas que usa?","Entre as seguintes opções,  qual é a plataforma de streaming que você mais utiliza? ",Quais outras plataformas você também utiliza com frequência? ,  Qual o tipo de conteúdo que você mais consome nessas plataformas?  ,Com que frequência você encontra algo que gosta nas plataformas? 
25/04/2025 16:01:14,18–24 anos,4,Tenho conta própria e pago sozinho(a),50,Netflix,YouTube,Séries,Às vezes (1–2x por semana)
25/04/2025 16:05:29,18–24 anos,12,Tenho conta própria e pago sozinho(a),100,Disney+,HBO Max,Séries,Frequentemente (3–5x por semana)
25/04/2025 16:06:09,25–34 anos,10,Tenho conta própria e pago sozinho(a),20,Crunchyroll,YouTube,Séries,Frequentemente (3–5x por semana)
25/04/2025 16:06:20,18–24 anos,14,Uso a conta de outra pessoa sem pagar,19.90,HBO Max,Disney+,Séries,Às vezes (1–2x por semana)
25/04/2025 16:08:36,25–34 anos,8,Tenho conta própria e pago sozinho(a),170,YouTube,Disney+,"Reality shows (esportes, talk shows...)",Sempre (quase todos os dias)
25/04/2025 16:09:06,18–24 anos,4,Tenho conta própria e pago sozinho(a),100,YouTube,Netflix,Séries,Às vezes (1–2x por semana)
25/04/2025 16:09:35,18–24 anos,30,Tenho conta própria e pago sozinho(a),45,YouTube,Prime video,Esportes ao vivo,Às vezes (1–2x por semana)
25/04/2025 16:18:12,18–24 anos,40,Tenho conta própria e pago sozinho(a),90,YouTube,Disney+,Esportes ao vivo,Sempre (quase todos os dias)
25/04/2025 16:23:17,18–24 anos,7,Tenho conta própria e pago sozinho(a),140,Disney+,Netflix,Séries,Às vezes (1–2x por semana)
25/04/2025 16:28:53,18–24 anos,3,Divido a conta e pago uma parte,10,YouTube,Crunchyroll,Séries,Frequentemente (3–5x por semana)
25/04/2025 16:30:19,18–24 anos,7,Tenho conta própria e pago sozinho(a),90,Netflix,Outras,Séries,Às vezes (1–2x por semana)
25/04/2025 16:31:30,18–24 anos,30,Uso apenas plataformas gratuitas (ex:Youtube),0,YouTube,Nenhuma,Outros,Sempre (quase todos os dias)
25/04/2025 16:31:33,18–24 anos,5,Uso a conta de outra pessoa sem pagar,0,Crunchyroll,Netflix,Séries,Frequentemente (3–5x por semana)
25/04/2025 16:34:46,18–24 anos,5,Tenho conta própria e pago sozinho(a),60,YouTube,Prime video,Filmes,Raramente (menos de 1x por semana)
25/04/2025 16:36:58,18–24 anos,6,Uso a conta de outra pessoa sem pagar,0,Globoplay,Netflix,"Reality shows (esportes, talk shows...)",Raramente (menos de 1x por semana)
25/04/2025 16:37:04,18–24 anos,10,Uso a conta de outra pessoa sem pagar,0,YouTube,Netflix,Séries,Frequentemente (3–5x por semana)
25/04/2025 16:37:54,18–24 anos,6,Uso a conta de outra pessoa sem pagar,0,YouTube,Nenhuma,Séries,Frequentemente (3–5x por semana)
25/04/2025 16:38:12,18–24 anos,15,Divido a conta e pago uma parte,200,Netflix,HBO Max,Séries,Frequentemente (3–5x por semana)
25/04/2025 16:39:58,18–24 anos,3,Uso a conta de outra pessoa sem pagar,0,Netflix,Crunchyroll,Séries,Raramente (menos de 1x por semana)
25/04/2025 16:40:31,18–24 anos,30,Uso a conta de outra pessoa sem pagar,0,Netflix,HBO Max,Filmes,Frequentemente (3–5x por semana)
25/04/2025 16:42:13,18–24 anos,33.00,Uso a conta de outra pessoa sem pagar,0,YouTube,HBO Max,Outros,Frequentemente (3–5x por semana)
25/04/2025 16:42:51,18–24 anos,5,Uso a conta de outra pessoa sem pagar,0,YouTube,Disney+,Séries,Raramente (menos de 1x por semana)
25/04/2025 16:43:38,18–24 anos,4,Tenho conta própria e pago sozinho(a),100,HBO Max,Netflix,Séries,Às vezes (1–2x por semana)
25/04/2025 16:44:50,45–54 anos,5.5,Tenho conta própria e pago sozinho(a),20,Netflix,YouTube,Séries,Frequentemente (3–5x por semana)
25/04/2025 16:46:14,45–54 anos,2,Tenho conta própria e pago sozinho(a),30,Prime video,YouTube,Filmes,Às vezes (1–2x por semana)
25/04/2025 16:46:35,25–34 anos,25,Tenho conta própria e pago sozinho(a),49.90,Netflix,YouTube,Séries,Às vezes (1–2x por semana)
25/04/2025 16:48:09,25–34 anos,3,Tenho conta própria e pago sozinho(a),40,HBO Max,Netflix,Séries,Às vezes (1–2x por semana)
25/04/2025 16:49:56,18–24 anos,30,Divido a conta e pago uma parte,25,YouTube,Netflix,Séries,Frequentemente (3–5x por semana)
25/04/2025 16:51:05,45–54 anos,7,Divido a conta e pago uma parte,30,Netflix,YouTube,Filmes,Às vezes (1–2x por semana)
25/04/2025 16:52:16,18–24 anos,10,Uso a conta de outra pessoa sem pagar,0,YouTube,Disney+,Filmes,Frequentemente (3–5x por semana)
25/04/2025 17:02:01,18–24 anos,3,Tenho conta própria e pago sozinho(a),40,Globoplay,HBO Max,Outros,Raramente (menos de 1x por semana)
25/04/2025 17:06:18,18–24 anos,03,Tenho conta própria e pago sozinho(a),250,Netflix,YouTube,Séries,Sempre (quase todos os dias)
25/04/2025 17:11:27,18–24 anos,8,Uso a conta de outra pessoa sem pagar,0,Netflix,Disney+,Séries,Raramente (menos de 1x por semana)
25/04/2025 17:29:47,18–24 anos,10,Uso a conta de outra pessoa sem pagar,0,HBO Max,Prime video,Séries,Raramente (menos de 1x por semana)
25/04/2025 18:33:29,25–34 anos,2,Uso apenas plataformas gratuitas (ex:Youtube),0,YouTube,Nenhuma,Outros,Frequentemente (3–5x por semana)
25/04/2025 18:41:50,18–24 anos,10,Uso a conta de outra pessoa sem pagar,0,YouTube,Netflix,Séries,Às vezes (1–2x por semana)
25/04/2025 18:48:25,18–24 anos,3,Uso apenas plataformas gratuitas (ex:Youtube),0,YouTube,Nenhuma,Outros,Sempre (quase todos os dias)
25/04/2025 18:51:18,18–24 anos,30,Uso a conta de outra pessoa sem pagar,0,YouTube,Prime video,Séries,Às vezes (1–2x por semana)
25/04/2025 18:56:33,18–24 anos,15.5,Tenho conta própria e pago sozinho(a),40,Netflix,YouTube,Séries,Raramente (menos de 1x por semana)
25/04/2025 19:09:27,18–24 anos,5,Tenho conta própria e pago sozinho(a),40,Prime video,Disney+,Séries,Às vezes (1–2x por semana)
25/04/2025 19:45:05,45–54 anos,6,Uso a conta de outra pessoa sem pagar,0,Globoplay,Netflix,"Reality shows (Big Brother, talk shows...)",Às vezes (1–2x por semana)
25/04/2025 20:39:41,18–24 anos,6,Uso apenas plataformas gratuitas (ex:Youtube),0,YouTube,Nenhuma,Outros,Frequentemente (3–5x por semana)
25/04/2025 20:50:36,18–24 anos,8,Uso apenas plataformas gratuitas (ex:Youtube),0,YouTube,Prime video,Outros,Sempre (quase todos os dias)
26/04/2025 10:15:16,18–24 anos,2,Tenho conta própria e pago sozinho(a),19,Prime video,Disney+,Séries,Às vezes (1–2x por semana)
27/04/2025 00:56:53,18–24 anos,4,Tenho conta própria e pago sozinho(a),84,Netflix,Prime video,Filmes,Frequentemente (3–5x por semana)